"(1, 1, 1, '0:1:11', 1)" +
"(127, 2, 1, '0:1:22', 2)" +
"(128, 2, 2, '0:1:12', 2)" +
"(129, 2, 3, '0:1:22', 2)" +
"(130, 2, 4, '0:1:15', 2)" +
"(131, 2, 5, '0:1:21', 2)" +
"(132, 2, 6, '0:1:34', 2)" +
"(133, 2, 7, '0:1:7', 2)" +
"(134, 2, 8, '0:1:27', 2)" +
"(135, 2, 9, '0:1:9', 2)" +
"(136, 2, 10, '0:1:14', 2)" +
"(137, 2, 11, '0:1:22', 2)" +
"(138, 2, 12, '0:1:9', 2)" +
"(139, 2, 13, '0:1:30', 2)" +
"(140, 2, 14, '0:1:22', 2)" +
"(141, 2, 15, '0:1:5', 2)" +
"(142, 2, 16, '0:1:16', 2)" +
"(143, 2, 17, '0:1:25', 2)" +
"(144, 2, 18, '0:1:31', 2)" +
"(145, 3, 1, '0:1:21', 2)" +
"(146, 3, 2, '0:1:6', 2)" +
"(147, 3, 3, '0:1:22', 2)" +
"(148, 3, 4, '0:1:32', 2)" +
"(149, 3, 5, '0:1:28', 2)" +
"(150, 3, 6, '0:1:16', 2)" +
"(151, 3, 7, '0:1:11', 2)" +
"(152, 3, 8, '0:1:29', 2)" +
"(153, 3, 9, '0:1:19', 2)" +
"(154, 3, 10, '0:1:29', 2)" +
"(155, 3, 11, '0:1:24', 2)" +
"(156, 3, 12, '0:1:12', 2)" +
"(157, 3, 13, '0:1:13', 2)" +
"(158, 3, 14, '0:1:16', 2)" +
"(159, 3, 15, '0:1:30', 2)" +
"(160, 3, 16, '0:1:12', 2)" +
"(161, 3, 17, '0:1:13', 2)" +
"(162, 3, 18, '0:1:31', 2)" +
"(163, 4, 1, '0:1:11', 2)" +
"(164, 4, 2, '0:1:24', 2)" +
"(165, 4, 3, '0:1:21', 2)" +
"(166, 4, 4, '0:1:11', 2)" +
"(167, 4, 5, '0:1:7', 2)" +
"(168, 4, 6, '0:1:30', 2)" +
"(169, 4, 7, '0:1:6', 2)" +
"(170, 4, 8, '0:1:7', 2)" +
"(171, 4, 9, '0:1:7', 2)" +
"(172, 4, 10, '0:1:7', 2)" +
"(173, 4, 11, '0:1:5', 2)" +
"(174, 4, 12, '0:1:21', 2)" +
"(175, 4, 13, '0:1:19', 2)" +
"(176, 4, 14, '0:1:7', 2)" +
"(177, 4, 15, '0:1:22', 2)" +
"(178, 4, 16, '0:1:25', 2)" +
"(179, 4, 17, '0:1:31', 2)" +
"(180, 4, 18, '0:1:16', 2)" +
"(181, 5, 1, '0:1:12', 2)" +
"(182, 5, 2, '0:1:16', 2)" +
"(183, 5, 3, '0:1:25', 2)" +
"(184, 5, 4, '0:1:30', 2)" +
"(185, 5, 5, '0:1:14', 2)" +
"(186, 5, 6, '0:1:9', 2)" +
"(187, 5, 7, '0:1:15', 2)" +
"(188, 5, 8, '0:1:27', 2)" +
"(189, 5, 9, '0:1:5', 2)" +
"(190, 5, 10, '0:1:21', 2)" +
"(191, 5, 11, '0:1:18', 2)" +
"(192, 5, 12, '0:1:34', 2)" +
"(193, 5, 13, '0:1:15', 2)" +
"(194, 5, 14, '0:1:31', 2)" +
"(195, 5, 15, '0:1:12', 2)" +
"(196, 5, 16, '0:1:16', 2)" +
"(197, 5, 17, '0:1:8', 2)" +
"(198, 5, 18, '0:1:32', 2)" +
"(199, 6, 1, '0:1:10', 2)" +
"(200, 6, 2, '0:1:21', 2)" +
"(201, 6, 3, '0:1:8', 2)" +
"(202, 6, 4, '0:1:23', 2)" +
"(203, 6, 5, '0:1:21', 2)" +
"(204, 6, 6, '0:1:24', 2)" +
"(205, 6, 7, '0:1:10', 2)" +
"(206, 6, 8, '0:1:16', 2)" +
"(207, 6, 9, '0:1:8', 2)" +
"(208, 6, 10, '0:1:25', 2)" +
"(209, 6, 11, '0:1:28', 2)" +
"(210, 6, 12, '0:1:6', 2)" +
"(211, 6, 13, '0:1:29', 2)" +
"(212, 6, 14, '0:1:20', 2)" +
"(213, 6, 15, '0:1:7', 2)" +
"(214, 6, 16, '0:1:17', 2)" +
"(215, 6, 17, '0:1:32', 2)" +
"(216, 6, 18, '0:1:14', 2)" +
"(217, 1, 1, '0:1:27', 3)" +
"(218, 1, 2, '0:1:20', 3)" +
"(219, 1, 3, '0:1:20', 3)" +
"(220, 1, 4, '0:1:7', 3)" +
"(221, 1, 5, '0:1:24', 3)" +
"(222, 1, 6, '0:1:19', 3)" +
"(223, 1, 7, '0:1:31', 3)" +
"(224, 1, 8, '0:1:5', 3)" +
"(225, 1, 9, '0:1:22', 3)" +
"(226, 1, 10, '0:1:12', 3)" +
"(227, 1, 11, '0:1:29', 3)" +
"(228, 1, 12, '0:1:25', 3)" +
"(229, 1, 13, '0:1:20', 3)" +
"(230, 1, 14, '0:1:32', 3)" +
"(231, 1, 15, '0:1:32', 3)" +
"(232, 1, 16, '0:1:14', 3)" +
"(233, 1, 17, '0:1:18', 3)" +
"(234, 1, 18, '0:1:8', 3)" +
"(235, 2, 1, '0:1:16', 3)" +
"(236, 2, 2, '0:1:34', 3)" +
"(237, 2, 3, '0:1:33', 3)" +
"(238, 2, 4, '0:1:32', 3)" +
"(239, 2, 5, '0:1:27', 3)" +
"(240, 2, 6, '0:1:15', 3)" +
"(241, 2, 7, '0:1:34', 3)" +
"(242, 2, 8, '0:1:12', 3)" +
"(243, 2, 9, '0:1:9', 3)" +
"(244, 2, 10, '0:1:30', 3)" +
"(245, 2, 11, '0:1:7', 3)" +
"(246, 2, 12, '0:1:23', 3)" +
"(247, 2, 13, '0:1:26', 3)" +
"(248, 2, 14, '0:1:14', 3)" +
"(249, 2, 15, '0:1:11', 3)" +
"(250, 2, 16, '0:1:24', 3)" +
"(251, 2, 17, '0:1:30', 3)" +
"(252, 2, 18, '0:1:9', 3)" +
"(253, 3, 1, '0:1:19', 3)" +
"(254, 3, 2, '0:1:25', 3)" +
"(255, 3, 3, '0:1:24', 3)" +
"(256, 3, 4, '0:1:22', 3)" +
"(257, 3, 5, '0:1:12', 3)" +
"(258, 3, 6, '0:1:24', 3)" +
"(259, 3, 7, '0:1:11', 3)" +
"(260, 3, 8, '0:1:34', 3)" +
"(261, 3, 9, '0:1:28', 3)" +
"(262, 3, 10, '0:1:8', 3)" +
"(263, 3, 11, '0:1:19', 3)" +
"(264, 3, 12, '0:1:6', 3)" +
"(265, 3, 13, '0:1:10', 3)" +
"(266, 3, 14, '0:1:18', 3)" +
"(267, 3, 15, '0:1:12', 3)" +
"(268, 3, 16, '0:1:29', 3)" +
"(269, 3, 17, '0:1:29', 3)" +
"(270, 3, 18, '0:1:9', 3)" +
"(271, 4, 1, '0:1:30', 3)" +
"(272, 4, 2, '0:1:20', 3)" +
"(273, 4, 3, '0:1:17', 3)" +
"(274, 4, 4, '0:1:27', 3)" +
"(275, 4, 5, '0:1:31', 3)" +
"(276, 4, 6, '0:1:23', 3)" +
"(277, 4, 7, '0:1:8', 3)" +
"(278, 4, 8, '0:1:22', 3)" +
"(279, 4, 9, '0:1:33', 3)" +
"(280, 4, 10, '0:1:22', 3)" +
"(281, 4, 11, '0:1:9', 3)" +
"(282, 4, 12, '0:1:14', 3)" +
"(283, 4, 13, '0:1:22', 3)" +
"(284, 4, 14, '0:1:21', 3)" +
"(285, 4, 15, '0:1:31', 3)" +
"(286, 4, 16, '0:1:32', 3)" +
"(287, 4, 17, '0:1:28', 3)" +
"(288, 4, 18, '0:1:33', 3)" +
"(289, 5, 1, '0:1:5', 3)" +
"(290, 5, 2, '0:1:32', 3)" +
"(291, 5, 3, '0:1:22', 3)" +
"(292, 5, 4, '0:1:19', 3)" +
"(293, 5, 5, '0:1:10', 3)" +
"(294, 5, 6, '0:1:27', 3)" +
"(295, 5, 7, '0:1:13', 3)" +
"(296, 5, 8, '0:1:16', 3)" +
"(297, 5, 9, '0:1:22', 3)" +
"(298, 5, 10, '0:1:10', 3)" +
"(299, 5, 11, '0:1:13', 3)" +
"(300, 5, 12, '0:1:32', 3)" +
"(301, 5, 13, '0:1:23', 3)" +
"(302, 5, 14, '0:1:29', 3)" +
"(303, 5, 15, '0:1:5', 3)" +
"(304, 5, 16, '0:1:29', 3)" +
"(305, 5, 17, '0:1:5', 3)" +
"(306, 5, 18, '0:1:31', 3)" +
"(307, 6, 1, '0:1:29', 3)" +
"(308, 6, 2, '0:1:14', 3)" +
"(309, 6, 3, '0:1:17', 3)" +
"(310, 6, 4, '0:1:26', 3)" +
"(311, 6, 5, '0:1:7', 3)" +
"(312, 6, 6, '0:1:11', 3)" +
"(313, 6, 7, '0:1:33', 3)" +
"(314, 6, 8, '0:1:34', 3)" +
"(315, 6, 9, '0:1:14', 3)" +
"(316, 6, 10, '0:1:10', 3)" +
"(317, 6, 11, '0:1:20', 3)" +
"(318, 6, 12, '0:1:23', 3)" +
"(319, 6, 13, '0:1:30', 3)" +
"(320, 6, 14, '0:1:17', 3)" +
"(321, 6, 15, '0:1:8', 3)" +
"(322, 6, 16, '0:1:7', 3)" +
"(323, 6, 17, '0:1:26', 3)" +
"(324, 6, 18, '0:1:28', 3)" +
"(325, 1, 1, '0:1:6', 4)" +
"(326, 1, 2, '0:1:12', 4)" +
"(327, 1, 3, '0:1:22', 4)" +
"(328, 1, 4, '0:1:33', 4)" +
"(329, 1, 5, '0:1:28', 4)" +
"(330, 1, 6, '0:1:21', 4)" +
"(331, 1, 7, '0:1:27', 4)" +
"(332, 1, 8, '0:1:5', 4)" +
"(333, 1, 9, '0:1:15', 4)" +
"(334, 1, 10, '0:1:24', 4)" +
"(335, 1, 11, '0:1:26', 4)" +
"(336, 1, 12, '0:1:12', 4)" +
"(337, 1, 13, '0:1:22', 4)" +
"(338, 1, 14, '0:1:7', 4)" +
"(339, 1, 15, '0:1:31', 4)" +
"(340, 1, 16, '0:1:23', 4)" +
"(341, 1, 17, '0:1:22', 4)" +
"(342, 1, 18, '0:1:17', 4)" +
"(343, 2, 1, '0:1:5', 4)" +
"(344, 2, 2, '0:1:17', 4)" +
"(345, 2, 3, '0:1:20', 4)" +
"(346, 2, 4, '0:1:9', 4)" +
"(347, 2, 5, '0:1:14', 4)" +
"(348, 2, 6, '0:1:5', 4)" +
"(349, 2, 7, '0:1:20', 4)" +
"(350, 2, 8, '0:1:7', 4)" +
"(351, 2, 9, '0:1:18', 4)" +
"(352, 2, 10, '0:1:34', 4)" +
"(353, 2, 11, '0:1:29', 4)" +
"(354, 2, 12, '0:1:33', 4)" +
"(355, 2, 13, '0:1:11', 4)" +
"(356, 2, 14, '0:1:16', 4)" +
"(357, 2, 15, '0:1:26', 4)" +
"(358, 2, 16, '0:1:8', 4)" +
"(359, 2, 17, '0:1:34', 4)" +
"(360, 2, 18, '0:1:28', 4)" +
"(361, 3, 1, '0:1:19', 4)" +
"(362, 3, 2, '0:1:16', 4)" +
"(363, 3, 3, '0:1:26', 4)" +
"(364, 3, 4, '0:1:27', 4)" +
"(365, 3, 5, '0:1:18', 4)" +
"(366, 3, 6, '0:1:9', 4)" +
"(367, 3, 7, '0:1:33', 4)" +
"(368, 3, 8, '0:1:7', 4)" +
"(369, 3, 9, '0:1:13', 4)" +
"(370, 3, 10, '0:1:27', 4)" +
"(371, 3, 11, '0:1:29', 4)" +
"(372, 3, 12, '0:1:23', 4)" +
"(373, 3, 13, '0:1:24', 4)" +
"(374, 3, 14, '0:1:18', 4)" +
"(375, 3, 15, '0:1:17', 4)" +
"(376, 3, 16, '0:1:14', 4)" +
"(377, 3, 17, '0:1:15', 4)" +
"(378, 3, 18, '0:1:10', 4)" +
"(379, 4, 1, '0:1:28', 4)" +
"(380, 4, 2, '0:1:15', 4)" +
"(381, 4, 3, '0:1:5', 4)" +
"(382, 4, 4, '0:1:27', 4)" +
"(383, 4, 5, '0:1:8', 4)" +
"(384, 4, 6, '0:1:22', 4)" +
"(385, 4, 7, '0:1:26', 4)" +
"(386, 4, 8, '0:1:17', 4)" +
"(387, 4, 9, '0:1:31', 4)" +
"(388, 4, 10, '0:1:14', 4)" +
"(389, 4, 11, '0:1:28', 4)" +
"(390, 4, 12, '0:1:8', 4)" +
"(391, 4, 13, '0:1:8', 4)" +
"(392, 4, 14, '0:1:29', 4)" +
"(393, 4, 15, '0:1:9', 4)" +
"(394, 4, 16, '0:1:32', 4)" +
"(395, 4, 17, '0:1:31', 4)" +
"(396, 4, 18, '0:1:31', 4)" +
"(397, 5, 1, '0:1:5', 4)" +
"(398, 5, 2, '0:1:25', 4)" +
"(399, 5, 3, '0:1:30', 4)" +
"(400, 5, 4, '0:1:7', 4)" +
"(401, 5, 5, '0:1:30', 4)" +
"(402, 5, 6, '0:1:31', 4)" +
"(403, 5, 7, '0:1:19', 4)" +
"(404, 5, 8, '0:1:17', 4)" +
"(405, 5, 9, '0:1:31', 4)" +
"(406, 5, 10, '0:1:30', 4)" +
"(407, 5, 11, '0:1:34', 4)" +
"(408, 5, 12, '0:1:14', 4)" +
"(409, 5, 13, '0:1:27', 4)" +
"(410, 5, 14, '0:1:7', 4)" +
"(411, 5, 15, '0:1:14', 4)" +
"(412, 5, 16, '0:1:19', 4)" +
"(413, 5, 17, '0:1:26', 4)" +
"(414, 5, 18, '0:1:30', 4)" +
"(415, 6, 1, '0:1:10', 4)" +
"(416, 6, 2, '0:1:29', 4)" +
"(417, 6, 3, '0:1:25', 4)" +
"(418, 6, 4, '0:1:13', 4)" +
"(419, 6, 5, '0:1:31', 4)" +
"(420, 6, 6, '0:1:16', 4)" +
"(421, 6, 7, '0:1:29', 4)" +
"(422, 6, 8, '0:1:30', 4)" +
"(423, 6, 9, '0:1:31', 4)" +
"(424, 6, 10, '0:1:10', 4)" +
"(425, 6, 11, '0:1:10', 4)" +
"(426, 6, 12, '0:1:11', 4)" +
"(427, 6, 13, '0:1:29', 4)" +
"(428, 6, 14, '0:1:6', 4)" +
"(429, 6, 15, '0:1:29', 4)" +
"(430, 6, 16, '0:1:21', 4)" +
"(431, 6, 17, '0:1:11', 4)" +
"(432, 6, 18, '0:1:6', 4)" +
"(433, 1, 1, '0:1:5', 5)" +
"(434, 1, 2, '0:1:5', 5)" +
"(435, 1, 3, '0:1:27', 5)" +
"(436, 1, 4, '0:1:6', 5)" +
"(437, 1, 5, '0:1:14', 5)" +
"(438, 1, 6, '0:1:8', 5)" +
"(439, 1, 7, '0:1:29', 5)" +
"(440, 1, 8, '0:1:31', 5)" +
"(441, 1, 9, '0:1:16', 5)" +
"(442, 1, 10, '0:1:17', 5)" +
"(443, 1, 11, '0:1:18', 5)" +
"(444, 1, 12, '0:1:22', 5)" +
"(445, 1, 13, '0:1:6', 5)" +
"(446, 1, 14, '0:1:26', 5)" +
"(447, 1, 15, '0:1:17', 5)" +
"(448, 1, 16, '0:1:27', 5)" +
"(449, 1, 17, '0:1:28', 5)"
